name,address,phone,email,lat,lng,url,rating_count,star_count,country,state,w,zip,facebook_link,instagram_link,twitter_link,whatsapp_link,tiktok_link,linkedin_link,youtube_link,primary_category_name,category_name,detailed_state,detailed_district
Perumal Mavu Mill,"No.11/7, Thiruvalluvar St, Sri Nagar, Annanur, Ambattur, Chennai, Tamil Nadu 600062, India",,,13.1414948,80.1370873,,0.0,0.0,India,Tamil Nadu,Poonamalle,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Sri Udayappa rice Mill,"No.1, East Coast Rd, Panaiyur, Madukkur, Chennai, Tamil Nadu 614903, India",,,12.8887981,80.2451508,,0.0,0.0,India,Tamil Nadu,Chennai,614903,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chennai
"Sri Krishna Rice Mill(Oil, Powder)","749, Trunk Rd, MG Nagar, Poonamallee, Chennai, Tamil Nadu 600056, India",,,13.050483,80.0947926,,0.0,0.0,India,Tamil Nadu,Poonamalle,600056,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Kannathal maavu mill,"51, Queen Victoria Road, Karayanchavadi, Poonamallee, Chennai, Tamil Nadu 600056, India",,,13.0424391,80.1104362,,0.0,0.0,India,Tamil Nadu,Poonamalle,600056,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
PSK Rice Mill,"652P+XFP, Gangaiyamman Koil St, Balaji Nagar, Ambedkar colony, Padianallur, Tamil Nadu 600052, India",,,13.2034748,80.1795651,,0.0,0.0,India,Tamil Nadu,Ponneri,600052,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
G.K flour mill,"25PP+JWG, Annai Sathya Nagar Main Rd, Om Sakthi Nagar, Ramapuram, Chennai, Tamil Nadu 600083, India",,,13.0365564,80.18734,,0.0,0.0,India,Tamil Nadu,Chennai,600083,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chennai
Ranuga rice mill,"66H9+G5F, Arumandai, Tamil Nadu 600067, India",,,13.2288087,80.2179227,,0.0,0.0,India,Tamil Nadu,Ponneri,600067,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Love Birds Rice Brand(sree Balaji Rice Traders)East Kavangarai,"56F2+M24, Mariammal Nagar Main Rd, Mariammal Nagar, Kavankarai, Kannada Palaiyam, Puzhal, Chennai, Tamil Nadu 600066, India",,,13.174147,80.20007,https://sree-balaji-rice-traders-love-birds-as-maufacturer.business.site/,51.0,4.9,India,Tamil Nadu,,600066,,,,,,,,Rice wholesalers,"Rice mills,Rice shops,Rice wholesalers",Tamil Nadu,Thiruvallur
Om Sakthi aravai nilayam,"No 256, 3rd Main Rd, Weavers Colony, Nagamalaipudukotai, Mahakavi Bharathi Nagar, Vyasarpadi, Chennai, Tamil Nadu 600039, India",,,13.1244896,80.2617898,,1.0,5.0,India,Tamil Nadu,Chennai,600039,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chennai
S.K. Group,"NO.1/2785, B.V, G. STREET, Attanthangal, Tamil Nadu 600052, India",+91 99629 95219,customercare@skgrouponline.com,13.1886737,80.1512704,http://skumarricemill.com/,1.0,1.0,India,Tamil Nadu,,600052,https://m.facebook.com/S-K-GROUP-1140047229494334/,,https://twitter.com/SKGROUP85756879,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
V.j.k Rice Mill,"near Balaji mahal, Vallam, Tamil Nadu 613403, India",,,10.7209375,79.0531875,,2.0,5.0,India,Tamil Nadu,Thanjavur,613403,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
Sri Amirtham Modern Rice Mill,"opp. to adaikala matha college, Vallam, Tamil Nadu 613403, India",,,10.7229291,79.0512751,,1.0,5.0,India,Tamil Nadu,Thanjavur,613403,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
S.R.Modern Rice Mill,"7, Road, Periyar Nagar, Alakudi, Vallam, Tamil Nadu 613403, India",,,10.7772986,79.0528859,,0.0,0.0,India,Tamil Nadu,Thanjavur,613403,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
Matha Modern Rice Mill,"P374+HPG, Vallam, Tamil Nadu 613401, India",,,10.7139264,79.0568247,,2.0,4.5,India,Tamil Nadu,Thanjavur,613401,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
TKT Rice Mill,"P3C3+979, Vallam, Tamil Nadu 613401, India",,,10.7209222,79.0531586,,0.0,0.0,India,Tamil Nadu,Thanjavur,613401,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
vinayagar rice mill,"R76C+JG2, Thanjavur, Tamil Nadu 613504, India",,,10.8115045,79.2712706,,2.0,5.0,India,Tamil Nadu,Papanasam,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
Matha rice mill,"M3XJ+P7G, Thirukanurpatti, Tamil Nadu 613303, India",,,10.6993142,79.080704,,0.0,0.0,India,Tamil Nadu,Thanjavur,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
Rice Mill,"Q3F3+J7C, Alakudi, Tamil Nadu 613601, India",,,10.7740554,79.0531519,,1.0,4.0,India,Tamil Nadu,Thanjavur,613601,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
K. G. R modern rice mill,"P3F2+47G, Unnamed Road, Pillayarpatti, Tamil Nadu 613403, India",,,10.7228036,79.0506927,,0.0,0.0,India,Tamil Nadu,Thanjavur,613403,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
Rice Mill,"P64R+X4V, Thanjavur, Tamil Nadu 614019, India",,,10.7074966,79.2403024,,0.0,0.0,India,Tamil Nadu,Papanasam,614019,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thanjavur
Padma Rice Mill,"Parvathipuram - Asaripallam Road 5/15,Main Road Peruvilai, Nagercoil, Tamil Nadu 629003, India",,,8.1850293,77.3973867,,2.0,5.0,India,Tamil Nadu,,629003,,,,,,,,Rice mills,"Rice mills,Food producers,Oil Stores",Tamil Nadu,Kanniyakumari
Stephen Modern Rice Mill,"4CRR+6JC, Keezhavannanvilai, Nagercoil, Tamil Nadu 629601, India",,,8.1405699,77.4415259,,3.0,2.0,India,Tamil Nadu,,629601,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
PADMA RICE MILL,"6C22+CM9, Kanyakulam, Nagercoil, Tamil Nadu 629003, India",,,8.2010387,77.4017391,,0.0,0.0,India,Tamil Nadu,,629003,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Latha Amma Rice Mill,"5C9P+624, Amman st, near Siva Hospital, Kottar, Chenthooran Nagar, Nagercoil, Tamil Nadu 629002, India",,,8.1680174,77.4350665,,1.0,5.0,India,Tamil Nadu,,629002,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
"Ganesan Rice Mill, Mela Asaripallam","59FM+C24, Unnamed Road, Kezha, Ramanpudur East, Asaripallam, Nagercoil, Tamil Nadu 629201, India",,,8.1735169,77.3825857,,2.0,5.0,India,Tamil Nadu,,629201,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Anand Rice Mill and Flour Mill,"59J4+X32, Kanyakumari, Tamil Nadu 629102, India",,,8.1823899,77.3551527,,1.0,5.0,India,Tamil Nadu,,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Paulraj Rice Mill,"1-189 , Punna villai , aloor post Kalkulam Thaluk, Villukuri, Tamil Nadu 629801, India",+91 94872 50536,,8.1991712,77.3617171,https://paulrajricemill.business.site/,0.0,0.0,India,Tamil Nadu,,629801,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
"Dhas Rice Mill, paruthivilai","Anandanadarkudy - Asaripallam Road Anandanadarkudy, Junction, Nagercoil, Tamil Nadu 629201, India",+91 91766 99228,,8.1445544,77.3839991,,10.0,4.8,India,Tamil Nadu,,629201,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Mudhaliyar rice mill,"5C9P+J4G, Saraloor, Chenthooran Nagar, Nagercoil, Tamil Nadu 629001, India",,,8.1690624,77.4353154,,0.0,0.0,India,Tamil Nadu,,629001,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Floor Mill,"17/15c, Chunkankadai, Nagercoil, Tamil Nadu 629003, India",,,8.1971175,77.3840867,,0.0,0.0,India,Tamil Nadu,,629003,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Fathima matha rice mill,"Simon Building, Nagercoil, Tamil Nadu 629003, India",,,8.189515,77.401732,,1.0,5.0,India,Tamil Nadu,,629003,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Arul rice mill,"596J+F5C, MDR412, Pampanvilai, Perumselvavilai, Tamil Nadu 629501, India",,,8.1611953,77.3803967,,1.0,5.0,India,Tamil Nadu,,629501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Alagan Modern Rice Mill,"4CFQ+W98, Eathamozhi, Tamil Nadu 629501, India",,,8.1247943,77.4384551,,1.0,5.0,India,Tamil Nadu,,629501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
S.K Mill,"5999+WM6, Perumselvavilai, Tamil Nadu 629201, India",,,8.1697972,77.3691411,,0.0,0.0,India,Tamil Nadu,,629201,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
ரைஸ் மில் பருத்திவிளை,"49VM+RJF, Paruthivilai Main Rd, Paruthi Vilai, Neendakara - A, Tamil Nadu 629501, India",,,8.1445609,77.3840361,,0.0,0.0,India,Tamil Nadu,,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Arumuga Rice Mill,"7CFV+442, Thaikca St, Thittuvilai, Tamil Nadu 629852, India",,,8.272766,77.4427609,,0.0,0.0,India,Tamil Nadu,,629852,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Easwara Pillai Rice Mil,"6FJJ+7WP, Madhavalayam, Tamil Nadu 629302, India",,,8.2307067,77.4823187,,1.0,4.0,India,Tamil Nadu,,629302,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Jerika rice and oil mill,"Aravind Home, Mulagumoodu - Colachel Rd, Tamil Nadu 629804, India",,,8.2105433,77.2689653,,1.0,4.0,India,Tamil Nadu,,629804,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
ரைஸ் மில்,"6F3P+2M5, Agasteeswaram, Tamil Nadu 629302, India",,,8.202513,77.4867191,,0.0,0.0,India,Tamil Nadu,,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Ram Leksmanan Flour Mill,"Paramarthalingapuram, Tamil Nadu 629702, India",,,8.1086875,77.5373125,,8.0,4.4,India,Tamil Nadu,,629702,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
அபிஸ் மாயுமில் & மருந்து திரிக்கும் கடை,"67F7+PR9, SH 91, Mathicode, Tamil Nadu 629804, India",,,8.2242808,77.2646024,,0.0,0.0,India,Tamil Nadu,,629804,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Sugadevan Rice mill,"6935+RJ3, Kanyakumari, Tamil Nadu 629801, India",,,8.2045145,77.3590594,,0.0,0.0,India,Tamil Nadu,,629801,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
North Street,"4CW9+G35, Unnamed Road, North Soorankudy, Dharmapuram, Tamil Nadu 629501, India",,,8.1462674,77.4177374,,0.0,0.0,India,Tamil Nadu,,629501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Modern Rice Mill,"4C2M+RMW, Villappilsala, Kezha Krishnan Puthoor, Tamil Nadu 629601, India",,,8.1021134,77.4342092,,1.0,5.0,India,Tamil Nadu,,629601,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
கனி ரைஸ் மில்,"49CP+5XG, SH 179, Eathamozhi, Tamil Nadu 629501, India",,,8.1204487,77.3874436,,1.0,5.0,India,Tamil Nadu,,629501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
paramasakthi rice mill,"4F58+QJ7, Kalladivilai to SS allam road in puthalam, Tamil Nadu 629602, India",,,8.1094026,77.4665504,,1.0,5.0,India,Tamil Nadu,,629602,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
தாஸ் மாவுமில்,"5949+P5Q, Perumselvavilai, Tamil Nadu 629201, India",,,8.1568354,77.3679921,,0.0,0.0,India,Tamil Nadu,,629201,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Thangam rice mill,"4C4M+C88, Kezha Krishnan Puthoor, Tamil Nadu 629601, India",,,8.1060326,77.4333385,,0.0,0.0,India,Tamil Nadu,,629601,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
SIVA GANGA RICE MILL,"68Q9+CHV, Thuckalay, Tamil Nadu 629175, India",,,8.2386027,77.3189314,,0.0,0.0,India,Tamil Nadu,,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
மாவு& ரைஸ் மில்,"Bus Stop, Eathamozhy School, Eathamozhi, Tamil Nadu 629501, India",,,8.1199987,77.3854744,,1.0,5.0,India,Tamil Nadu,,629501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Periya vilai Rice Mill,"Bus Stop, Periya Vilai, Eathamozhi, Tamil Nadu 629501, India",,,8.1217739,77.3923664,,1.0,5.0,India,Tamil Nadu,,629501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Prakash Rice Mill,"684W+3VC, Peyankuzhi, Tamil Nadu 629809, India",,,8.2051875,77.3471406,,0.0,0.0,India,Tamil Nadu,,629809,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Anish rise mill,"68VJ+HPM, Kulasekharam Thuckalay Rd, Chakala, Thuckalay, Tamil Nadu 629175, India",,,8.243955,77.331806,,0.0,0.0,India,Tamil Nadu,,629175,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Madhusoodhanapuram Rice Mill,"4FH3+G3M, Madhusoodhanapuram, Tamil Nadu 629601, India",,,8.1288365,77.4526655,,0.0,0.0,India,Tamil Nadu,,629601,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Murugan rice mill,"57MG+QHJ, Sirayanvilai, Tamil Nadu 629803, India",,,8.1844608,77.2763773,,0.0,0.0,India,Tamil Nadu,,629803,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Rice mill 1,"68CW+MQQ, Kandanvilai - Manakkarai - Villukuri Rd, Veeravillai, Kulumaikadu, Madathattuvilai, Tamil Nadu 629180, India",,,8.2217225,77.3469728,,0.0,0.0,India,Tamil Nadu,,629180,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Rice Mill,"5GC3+HCV, Marungoor, Tamil Nadu 629402, India",,,8.1714882,77.5035442,,0.0,0.0,India,Tamil Nadu,,629402,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Rice mill,"7G2C+5HW, Yadhavar St, Meenakshipuram, Aralvaimozhi, Tamil Nadu 627105, India",,,8.2504785,77.5214394,,0.0,0.0,India,Tamil Nadu,,627105,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
ROYAN RICE MILL,"3HP2+6WP, Church Rd, KOTTAIADY, Kanyakumari, Tamil Nadu 629702, India",,,8.0855841,77.5523253,,0.0,0.0,India,Tamil Nadu,,629702,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Haridas,"58X3+XGV, Thingalnagar, Thingal Nagar, Tamil Nadu 629802, India",,,8.1999687,77.3037711,,1.0,5.0,India,Tamil Nadu,Eraniel,629802,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Murugan mavu mill,"Sirayanvilai, Tamil Nadu 629803, India",,,8.1854249,77.2767397,,0.0,0.0,India,Tamil Nadu,,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Kanniyakumari
Kumar rice mills,"Ayya kovil street, Visvanathapuram, Tirunelveli, Rajakrishnapuram, Tamil Nadu 627114, India",,,8.1576475,77.5538205,,0.0,0.0,India,Tamil Nadu,,627114,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Tirunelveli
Janaki ricemill,"5J59+CGW, Chettikulam, Tamil Nadu 627127, India",,,8.1591476,77.6185856,,1.0,5.0,India,Tamil Nadu,,627127,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Tirunelveli
venkatajalapathy modern rice mill,"R.s no 34/2, Sorapet, 605501, India",,,11.9524284,79.6596642,http://venkatajalapathy-modern-rice-mill.business.site/,5.0,4.6,India,Tamil Nadu,,605501,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Viluppuram
JAYALAKSHMI MODERN RICE MILL,"VQ76+W35, Thavalakuppam-Embalam Rd, Pudukkadai, Tamil Nadu 605007, India",,,11.8647722,79.7602479,,0.0,0.0,India,Tamil Nadu,,605007,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Cuddalore
Sri Murugan rice and flour mill,"6, main road, thirukanur vian, Mannadipet, Puducherry 605501, India",,,11.9824919,79.6253851,,2.0,5.0,India,Tamil Nadu,,605501,,,,,,,,Rice mills,Rice mills,Puducherry,Puducherry
Sri Ram Model Rice Mills,"2J2M+X8Q, Unnamed Road, Kunichampattu,, 605501, India",+91 99447 53282,,12.0024628,79.6333671,,0.0,0.0,India,Tamil Nadu,Villupuram,605501,,,,,,,,Rice mills,Rice mills,Puducherry,Puducherry
Ponnammal Rice Mill,"WQJ4+93J, Lakshmananayakkanpalayam, Perambai, Marie Oulgaret, Puducherry, Tamil Nadu 605111, India",,,11.9309588,79.755131,,2.0,5.0,India,Tamil Nadu,,605111,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Viluppuram
Shakthi Modern rice mill,"RQW8+5X5, Kuttakulam St, Manakula vinayagar nagar, Thimmanayakan Palayam, Puducherry 605007, India",,,11.8453926,79.7674918,,0.0,0.0,India,Tamil Nadu,Cuddalore,605007,,,,,,,,Rice mills,Rice mills,Puducherry,Puducherry
Balas Muthulakshmi Rice Mill,"730/3, EVR Rd, Ashok Nagar, Dindigul, Tamil Nadu 624001, India",+91 99944 44320,,10.3720327,77.9688607,,1.0,5.0,India,Tamil Nadu,Dindigul,624001,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Al Jabbar Modern Rice Mill,"N.S.Nagar, Dindigul, Tamil Nadu 624001, India",,,10.3850981,77.9956963,,2.0,4.0,India,Tamil Nadu,Dindigul,624001,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Sivasakthi Rice Mill,"9XVH+633, Chettinayakanpatti, Dindigul, Tamil Nadu 624004, India",,,10.3930245,77.977658,,9.0,4.6,India,Tamil Nadu,Dindigul,624004,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Sri Chakra Modern Rice Mill,"9WFR+648, Kottapatti, Dindigul, Pallapatti, Tamil Nadu 624002, India",,,10.3730371,77.940324,,6.0,5.0,India,Tamil Nadu,Dindigul,624002,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Nanmai Tharum Vinayagar Modern Rice Mill,"9XPW+334, N.S.Nagar, Dindigul, Tamil Nadu 624004, India",,,10.3851361,77.9951902,,0.0,0.0,India,Tamil Nadu,Dindigul,624004,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Sri Venkatachalapathi Modern Rice Mill,"82X3+CX4, Malaipatty, Dindigul, Tamil Nadu 624003, India",+91 451 247 0471,,10.3485215,78.0049532,,4.0,4.0,India,Tamil Nadu,Dindigul,624003,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Mahendra Singh RICE Mill,"36 G, Palani Rd, Meenachinayakkanpatti, Dindigul, Tamil Nadu 624001, India",,,10.3657556,77.9609362,,0.0,0.0,India,Tamil Nadu,Dindigul,624001,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Kasthuri Rice Traders,"8XW2+M4C, batlagundu tamilnadu Nadu, Pallapatti, Tamil Nadu 624002, India",,,10.3466876,77.9502732,,1.0,1.0,India,Tamil Nadu,Dindigul,624002,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
pandian rice mill,"835R+JP7, Dindigul, Tamil Nadu 624304, India",,,10.3090447,78.091808,,0.0,0.0,India,Tamil Nadu,Dindigul,,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
V.M. Modern Rice Mill,"9XMW+W4F, Unnamed Road, N.S.Nagar, Dindigul, Tamil Nadu 624004, India",,,10.3848183,77.9952825,,1.0,2.0,India,Tamil Nadu,Dindigul,624004,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Al Ameen Modern Rice Mill,"9X43+CQ7, Begambur, Tamil Nadu 624002, India",,,10.3560474,77.9544331,,1.0,3.0,India,Tamil Nadu,Dindigul,624002,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Shri Meenatchi Modern Rice Mill,"243/3A,Ramayanpatti, Palani Rd, Tamil Nadu 624002, India",,,10.3832436,77.9421292,,0.0,0.0,India,Tamil Nadu,Dindigul,624002,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
Yacob Rice mill,"82F5+G79, Tamil Nadu 624003, India",,,10.3237757,78.0082191,,0.0,0.0,India,Tamil Nadu,Dindigul,624003,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Dindigul
vignesh rice mill,"V3JF+MQ5, Valmigi St, Perungalathur, Tamil Nadu 600048, India",,,12.8816285,80.0744984,,1.0,4.0,India,Tamil Nadu,,600048,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chengalpattu
K. Jairaman Rice Merchant - K.J. Rice Mill,"42 GST Rd, Chennai - Theni Hwy, Chennai, Nandhivaram, Tamil Nadu 603202, India",+91 44 2746 5386,,12.8477404,80.0627691,,15.0,4.8,India,Tamil Nadu,,603202,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chengalpattu
Vani Rice Maill,"54/B22, Valmiki Nagar, Thiruvalluvar Nagar, Chennai, Tamil Nadu 600041, India",,,12.9763594,80.2638277,,0.0,0.0,India,Tamil Nadu,Chennai,600041,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chennai
Daily Fresh Idly Dosa Maavu,"1, Rajaji Nagar Main Rd, Jeeva Nagar, T.Nagar, Ram Nagar South, Madipakkam, Chennai, Tamil Nadu 600091, India",+91 99402 97480,,12.9629536,80.2034428,,2.0,5.0,India,Tamil Nadu,Chennai,600091,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chennai
Balaji Foods,"46,Bhajanai koil, Sangothi Amman kovil 2nd Cross St, Sembakkam, Chennai, Tamil Nadu 600073, India",,,12.9176241,80.1603878,,0.0,0.0,India,Tamil Nadu,Tambaram,600073,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chengalpattu
அரிசி ஆலை,"2542+XC9, Ramamurthy Avenue, Karumariamman Nagar, Kolapakkam, Chennai, Tamil Nadu 600116, India",,,13.0074127,80.1511074,,0.0,0.0,India,Tamil Nadu,Chennai,600116,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chennai
Sasi rice mill,"192, Grand Southern Trunk Rd, Senthil Nagar, Urapakkam, Chennai, Tamil Nadu 603211, India",,,12.8609032,80.0733557,,0.0,0.0,India,Tamil Nadu,,603211,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chengalpattu
Mavu mill,"X3J3+3H7, Mogalingam Salai, Malayambakkam, Tamil Nadu 602109, India",,,12.9801698,80.0539365,,0.0,0.0,India,Tamil Nadu,,602109,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Chengalpattu
Sri Jegannathan Rice Mill,"4353+RHC, Unnamed Road, Thandurai, Avadi, Tamil Nadu 602024, India",,,13.1095646,80.0539055,,3.0,3.7,India,Tamil Nadu,Poonamalle,602024,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
VVS MODERN RICE MILL,"1/112, E.G Nagar, Gandhi Nagar West, Red Hills, Chennai, Tamil Nadu 600052, India",,,13.199869,80.151883,,3.0,4.3,India,Tamil Nadu,Ponneri,600052,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Sri Kannan hi tech morden rice mills,"10, Vivekandhar St, Sivanthi Adhithan Nagar, Attanthangal, Chennai, Tamil Nadu 600052, India",,,13.2006997,80.1614491,,0.0,0.0,India,Tamil Nadu,Ponneri,600052,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Star Technologies,"No 13,Womens Industrial Estate, Kattur, Thirumullaivoyal, Chennai, Tamil Nadu 600062, India",+91 97105 32060,startecshankar@gmail.com,13.1792234,80.1376551,http://startechnologies.co.in/,1.0,5.0,India,Tamil Nadu,Ponneri,600062,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Gajalakshmi modern rice mill,"52, Palavoyal, Red Hills, Chennai, Perungavoor, Tamil Nadu 600052, India",,,13.2069309,80.1954528,,0.0,0.0,India,Tamil Nadu,Ponneri,600052,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
GV Mills,"4/709 B, GNT ROAD Padinallur, Chennai, Tamil Nadu 600052, India",,,13.204982,80.174313,,1.0,5.0,India,Tamil Nadu,Ponneri,600052,,,,,,,,Rice mills,"Rice mills,Organic food stores,Flour mills",Tamil Nadu,Thiruvallur
Jai Ganesh Modern Rice Mill,"56M2+35P, Unnamed Road, Grant Lyon, Red Hills, Vedakarai, Tamil Nadu 600052, India",,,13.1827199,80.2004411,,1.0,4.0,India,Tamil Nadu,,600052,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
செல்வி பிராண்ட் அரிசி,,,,13.0538998,80.1940832,,0.0,0.0,India,Tamil Nadu,Chennai,,,,,,,,,Rice mills,"Rice mills,Service establishments,Companies",Tamil Nadu,Chennai
Rao Rice mill,"52HW+PW6, Karalappakam, Tamil Nadu 602024, India",,,13.1792932,80.0472678,,1.0,4.0,India,Tamil Nadu,,602024,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Murugan Rice mill,"Plot# 487-B, Sampangi, 2nd Main Road, PO, N 2nd Cross St, SM Nagar, Poompozhil Nagar, Sathiya, Arakkambakkam, Tamil Nadu 600062, India",,,13.1766325,80.0657309,,0.0,0.0,India,Tamil Nadu,Poonamalle,600062,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
VICKY RICE MILL,"42J2+FVW, Priyanga Nagar, Thiruvel Murugan Nagar, Veppambaattu, Tamil Nadu 602024, India",,,13.131229,80.0021977,,0.0,0.0,India,Tamil Nadu,Tiruvallur,602024,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Dhanalakshmi Rice mill,"Morai, Tamil Nadu 600055, India",,,13.1997922,80.0695979,,1.0,5.0,India,Tamil Nadu,Tiruvallur,600055,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
Mani RICE MILL,"42J2+FVW, Priyanga Nagar, Thiruvel Murugan Nagar, Veppambaattu, Tamil Nadu 602024, India",,,13.1312454,80.0022005,,0.0,0.0,India,Tamil Nadu,Tiruvallur,602024,,,,,,,,Rice mills,Rice mills,Tamil Nadu,Thiruvallur
